ID,Ranking,P,O,U,R,Error %,Performance
1,1,0,0,0,0,0.00%,High
2,1,0,0,0,0,0.00%,High
3,20,0,0,1,0,0.99%,High
4,63,27,1,10,1,38.61%,Medium
5,59,8,8,0,1,16.83%,High
6,1,0,0,0,0,0.00%,High
7,56,10,2,3,0,14.85%,High
8,20,0,0,0,1,0.99%,High
9,1,0,0,0,0,0.00%,High
10,45,5,1,1,0,6.93%,High
11,1,0,0,0,0,0.00%,High
12,31,2,0,1,0,2.97%,High
13,45,0,7,0,0,6.93%,High
14,41,3,0,2,1,5.94%,High
15,56,15,0,0,0,14.85%,High
16,56,15,0,0,0,14.85%,High
17,28,0,0,1,1,1.98%,High
18,20,0,0,0,1,0.99%,High
19,1,0,0,0,0,0.00%,High
20,60,0,22,0,0,21.78%,High
21,40,3,1,1,0,4.95%,High
22,36,3,0,1,0,3.96%,High
23,1,0,0,0,0,0.00%,High
24,36,1,0,2,1,3.96%,High
25,1,0,0,0,0,0.00%,High
26,1,0,0,0,0,0.00%,High
27,41,4,0,2,0,5.94%,High
28,1,0,0,0,0,0.00%,High
29,45,4,0,3,0,6.93%,High
30,31,0,3,0,0,2.97%,High
31,20,0,0,0,1,0.99%,High
32,20,0,0,0,1,0.99%,High
33,53,9,0,0,1,9.90%,High
34,1,0,0,0,0,0.00%,High
35,45,0,6,0,1,6.93%,High
36,64,75,3,23,0,100.00%,Low
37,41,3,0,2,1,5.94%,High
38,62,16,0,14,0,29.70%,High
39,20,0,0,0,1,0.99%,High
40,36,4,0,0,0,3.96%,High
41,1,0,0,0,0,0.00%,High
42,50,6,0,2,0,7.92%,High
43,1,0,0,0,0,0.00%,High
44,60,9,4,8,1,21.78%,High
45,55,5,6,1,0,11.88%,High
46,1,0,0,0,0,0.00%,High
47,1,0,0,0,0,0.00%,High
48,1,0,0,0,0,0.00%,High
49,1,0,0,0,0,0.00%,High
50,28,1,1,0,0,1.98%,High
51,36,0,4,0,0,3.96%,High
52,31,2,0,1,0,2.97%,High
53,45,6,1,0,0,6.93%,High
54,31,2,1,0,0,2.97%,High
55,1,0,0,0,0,0.00%,High
56,52,3,3,3,0,8.91%,High
57,31,2,0,1,0,2.97%,High
58,20,0,1,0,0,0.99%,High
59,41,4,0,2,0,5.94%,High
60,20,0,0,0,1,0.99%,High
61,53,10,0,0,0,9.90%,High
62,50,4,3,1,0,7.92%,High
63,1,0,0,0,0,0.00%,High
64,28,0,2,0,0,1.98%,High
